Марка,Модель,Мощность,Топливо,Цена,Год производства,Пробег,Коробка,Кузов,Привод,Цвет
Chevrolet,Niva I,80,Бензин,75000,2003,150000,механика,внедорожник 5 дв.,полный,белый
Chevrolet,Niva I,80,Бензин,167000,2005,144000,механика,внедорожник 5 дв.,полный,серый
Chevrolet,Traverse II,318,Бензин,3050,2018,435,автомат,внедорожник 5 дв.,полный,чёрный
Chevrolet,Lanos I,86,Бензин,130000,2009,106904,механика,седан,передний,синий
Chevrolet,Lanos I,86,Бензин,88000,2006,109000,механика,седан,передний,серебристый
Chevrolet,Lanos I,86,Бензин,134000,2008,102000,механика,седан,передний,зелёный
Chevrolet,Captiva I Рестайлинг,167,Бензин,707000,2013,119445,автомат,внедорожник 5 дв.,полный,серебристый
Chevrolet,Evanda,131,Бензин,209700,2005,170000,автомат,седан,передний,голубой
Chevrolet,Captiva I Рестайлинг 2,184,Дизель,960000,2015,84000,автомат,внедорожник 5 дв.,полный,белый
Chevrolet,Tahoe IV,409,Бензин,1790,2016,163523,автомат,внедорожник 5 дв.,полный,чёрный
Chevrolet,Lacetti,109,Бензин,259900,2011,175568,автомат,хэтчбек 5 дв.,передний,красный
Chevrolet,Cruze I Рестайлинг,109,Бензин,560000,2015,33000,автомат,хэтчбек 5 дв.,передний,красный
Chevrolet,Cruze I Рестайлинг,109,Бензин,458000,2015,112797,механика,седан,передний,синий
Chevrolet,Lacetti,109,Бензин,210000,2007,221000,автомат,седан,передний,синий
Chevrolet,Cruze I Рестайлинг,109,Бензин,259000,2013,158284,механика,седан,передний,серый
Chevrolet,Tracker III (Trax),141,Бензин,625000,2015,61600,механика,внедорожник 5 дв.,передний,серый
Chevrolet,Tahoe IV,426,Бензин,4195,2018,1200,автомат,внедорожник 5 дв.,полный,чёрный
Chevrolet,Camaro V,426,Бензин,2000,2010,15196,автомат,купе,задний,жёлтый
Chevrolet,Tahoe IV,409,Бензин,2200,2016,104000,автомат,внедорожник 5 дв.,полный,красный
Chevrolet,Traverse II,318,Бензин,3450,2018,900,автомат,внедорожник 5 дв.,полный,чёрный
Chevrolet,Caprice III,140,Бензин,900000,1979,75000,автомат,седан,задний,синий
Chevrolet,Express II,314,Бензин,7950,2013,8763,автомат,минивэн,полный,синий
Chevrolet,Lacetti,109,Бензин,250000,2010,177700,механика,универсал 5 дв.,передний,серебристый
Chevrolet,Aveo I,72,Бензин,181000,2007,124920,механика,хэтчбек 5 дв.,передний,серебристый
Chevrolet,Lacetti,94,Бензин,130000,2005,226880,механика,седан,передний,серебристый
Chevrolet,Lacetti,94,Бензин,205000,2010,145000,механика,хэтчбек 5 дв.,передний,серый
Chevrolet,Aveo I Рестайлинг,101,Бензин,229500,2008,100000,механика,седан,передний,серебристый
Chevrolet,Epica I,143,Бензин,250000,2006,175000,механика,седан,передний,синий
